"Title","Category","Root","Extension","RelativePath","SizeBytes","LastModified"
"ハイレベル│病的な推論者(その他)","Research note","Research-memo","md","Research-memo\ハイレベル│病的な推論者(その他).md","14678","2025-10-06T17:19:15"
"ムーアのパラドックス","Research note","Research-memo","md","Research-memo\ムーアのパラドックス.md","454","2025-09-03T21:47:01"
"モダスポネンスが成立しない理論","Research note","Research-memo","md","Research-memo\モダスポネンスが成立しない理論.md","439","2025-09-30T11:41:06"
"モダスポネンスと亀","Research note","Research-memo","md","Research-memo\モダスポネンスと亀.md","1681","2026-04-27T06:33:19"
"モダスポネンスのアリス(無限個の推論規則)","Research note","Research-memo","md","Research-memo\モダスポネンスのアリス(無限個の推論規則).md","3314","2025-09-30T11:37:07"
"一点に潰れる述語モデル","Research note","Research-memo","md","Research-memo\一点に潰れる述語モデル.md","117","2025-09-04T14:00:56"
"一般化された理論","Research note","Research-memo","md","Research-memo\一般化された理論.md","598","2025-09-26T22:59:40"
"一般化された論理式","Research note","Research-memo","md","Research-memo\一般化された論理式.md","1907","2025-10-31T01:05:09"
"一般化量化子","Research note","Research-memo","md","Research-memo\一般化量化子.md","377","2026-03-28T20:54:06"
"引用の論理と抽象代数","Research note","Research-memo","md","Research-memo\引用の論理と抽象代数.md","368","2026-04-17T05:58:45"
"演算子としての無矛盾性述語","Research note","Research-memo","md","Research-memo\演算子としての無矛盾性述語.md","1244","2025-11-03T15:04:07"
"演繹体系を抽象化する","Research note","Research-memo","md","Research-memo\演繹体系を抽象化する.md","958","2026-04-13T06:41:58"
"可算無限個の推論規則をもつ様相論理","Research note","Research-memo","md","Research-memo\可算無限個の推論規則をもつ様相論理.md","528","2025-09-22T12:25:21"
"可述性動画園","Research note","Research-memo","md","Research-memo\可述性動画園.md","1717","2026-02-24T16:27:02"
"可述的包括関手","Research note","Research-memo","md","Research-memo\可述的包括関手.md","4314","2026-04-18T19:16:31"
"可能化の論理","Research note","Research-memo","md","Research-memo\可能化の論理.md","791","2025-09-23T08:02:31"
"解釈可能性とモデル理論","Research note","Research-memo","md","Research-memo\解釈可能性とモデル理論.md","360","2026-04-30T17:46:44"
"解釈可能性と非古典論理","Research note","Research-memo","md","Research-memo\解釈可能性と非古典論理.md","302","2026-03-02T06:04:27"
"解釈可能性代数","Research note","Research-memo","md","Research-memo\解釈可能性代数.md","42","2026-02-21T05:29:57"
"懐疑論理","Research note","Research-memo","md","Research-memo\懐疑論理.md","1038","2025-09-07T20:42:58"
"階層化された自己言及文","Research note","Research-memo","md","Research-memo\階層化された自己言及文.md","351","2025-10-11T20:54:50"
"関係型","Research note","Research-memo","md","Research-memo\関係型.md","13","2025-09-30T03:05:45"
"奇妙に振る舞い合う2つの述語モデル【2 重証明可能性論理】","Research note","Research-memo","md","Research-memo\奇妙に振る舞い合う2つの述語モデル【2 重証明可能性論理】.md","255","2025-09-04T11:38:34"
"偽の算術における述語モデルの振る舞い","Research note","Research-memo","md","Research-memo\偽の算術における述語モデルの振る舞い.md","495","2025-09-04T09:05:15"
"擬証明可能性述語とKTの階層","Research note","Research-memo","md","Research-memo\擬証明可能性述語とKTの階層.md","1160","2025-09-04T09:00:31"
"義務論理と証明可能性述語","Research note","Research-memo","md","Research-memo\義務論理と証明可能性述語.md","203","2025-09-03T21:48:57"
"強い自己言及文","Research note","Research-memo","md","Research-memo\強い自己言及文.md","256","2025-09-04T09:02:53"
"強制論理","Research note","Research-memo","md","Research-memo\強制論理.md","1739","2025-09-03T20:32:15"
"近傍意味論","Research note","Research-memo","md","Research-memo\近傍意味論.md","504","2025-10-18T18:57:29"
"形式位相","Research note","Research-memo","md","Research-memo\形式位相.md","1397","2026-04-24T12:09:48"
"形式化されたInformal rigour","Research note","Research-memo","md","Research-memo\形式化されたInformal rigour.md","572","2025-09-04T09:03:40"
"形式化されたLöbの定理","Research note","Research-memo","md","Research-memo\形式化されたLöbの定理.md","1360","2025-09-30T23:56:02"
"形式化されたΠ_1-不完全性定理","Research note","Research-memo","md","Research-memo\形式化されたΠ_1-不完全性定理.md","301","2025-09-08T16:04:54"
"形式化されたΣ2-完全性","Research note","Research-memo","md","Research-memo\形式化されたΣ2-完全性.md","794","2025-09-04T09:01:33"
"形式化されたモダスポネンスに関する考察","Research note","Research-memo","md","Research-memo\形式化されたモダスポネンスに関する考察.md","933","2025-09-14T03:40:04"
"形式化された第1不完全性定理について","Research note","Research-memo","md","Research-memo\形式化された第1不完全性定理について.md","5453","2025-10-04T19:54:41"
"形式世界と強制","Research note","Research-memo","md","Research-memo\形式世界と強制.md","566","2025-10-09T13:02:48"
"形式世界と非古典論理","Research note","Research-memo","md","Research-memo\形式世界と非古典論理.md","287","2025-09-30T16:30:34"
"形式体系における常識","Research note","Research-memo","md","Research-memo\形式体系における常識.md","114","2025-09-23T11:37:00"
"形式的証明可能性に関する考察","Research note","Research-memo","md","Research-memo\形式的証明可能性に関する考察.md","458","2025-09-04T00:16:45"
"圏論的解釈可能性","Research note","Research-memo","md","Research-memo\圏論的解釈可能性.md","3112","2026-05-03T08:08:48"
"圏論的自己検証理論","Research note","Research-memo","md","Research-memo\圏論的自己検証理論.md","217","2026-04-08T04:18:46"
"研究アイデアInbox","Research note","Research-memo","md","Research-memo\研究アイデアInbox.md","582","2026-06-15T07:33:13"
"言及と何か","Research note","Research-memo","md","Research-memo\言及と何か.md","246","2025-09-16T01:09:12"
"言語の拡張に伴う算術的解釈に関する注記","Research note","Research-memo","md","Research-memo\言語の拡張に伴う算術的解釈に関する注記.md","415","2025-09-03T21:40:55"
"公理と推論規則の差異に関する分析","Research note","Research-memo","md","Research-memo\公理と推論規則の差異に関する分析.md","92","2026-05-02T21:41:42"
"公理述語Ax(x)の様相論理","Research note","Research-memo","md","Research-memo\公理述語Ax(x)の様相論理.md","284","2025-09-08T16:02:25"
"公理枚挙代数","Research note","Research-memo","md","Research-memo\公理枚挙代数.md","225","2026-02-16T18:53:56"
"再帰的な可証性述語","Research note","Research-memo","md","Research-memo\再帰的な可証性述語.md","238","2025-09-08T16:05:52"
"最初の数化と次の数化の違い","Research note","Research-memo","md","Research-memo\最初の数化と次の数化の違い.md","279","2025-09-08T16:04:19"
"算術化された命令文","Research note","Research-memo","md","Research-memo\算術化された命令文.md","1903","2025-09-23T13:54:27"
"算術体系における式変数と式量化子の取り扱いについて","Research note","Research-memo","md","Research-memo\算術体系における式変数と式量化子の取り扱いについて.md","1200","2025-09-03T20:31:10"
"算術体系の恒偽部分","Research note","Research-memo","md","Research-memo\算術体系の恒偽部分.md","210","2025-09-26T11:46:40"
"算術的解釈についてのメモ","Research note","Research-memo","md","Research-memo\算術的解釈についてのメモ.md","347","2025-09-30T12:00:06"
"算術的解釈を関数とみなす","Research note","Research-memo","md","Research-memo\算術的解釈を関数とみなす.md","4807","2025-09-06T23:22:22"
"算術的階層の論理","Research note","Research-memo","md","Research-memo\算術的階層の論理.md","163","2025-09-26T13:09:52"
"算術的完全性定理に関するメモ","Research note","Research-memo","md","Research-memo\算術的完全性定理に関するメモ.md","364","2025-10-06T12:40:12"
"使用と言及の代数","Research note","Research-memo","md","Research-memo\使用と言及の代数.md","739","2026-04-17T15:43:49"
"使用と言及の論理","Research note","Research-memo","md","Research-memo\使用と言及の論理.md","665","2025-09-04T08:48:13"
"指示語this","Research note","Research-memo","md","Research-memo\指示語this.md","202","2025-10-11T21:28:54"
"自己引用文と様相","Research note","Research-memo","md","Research-memo\自己引用文と様相.md","1634","2025-10-06T00:53:30"
"自己嘘つき文","Research note","Research-memo","md","Research-memo\自己嘘つき文.md","895","2025-10-06T22:32:36"
"自己可証性論理","Research note","Research-memo","md","Research-memo\自己可証性論理.md","3198","2025-09-29T14:59:21"
"自己可適述語","Research note","Research-memo","md","Research-memo\自己可適述語.md","3479","2025-10-11T16:15:32"
"自己完結した理論と様相論理","Research note","Research-memo","md","Research-memo\自己完結した理論と様相論理.md","2121","2025-10-08T20:39:22"
"自己空な理論","Research note","Research-memo","md","Research-memo\自己空な理論.md","1427","2025-09-16T09:57:16"
"自己健全文","Research note","Research-memo","md","Research-memo\自己健全文.md","1012","2025-09-04T00:16:08"
"自己検証理論の一般化","Research note","Research-memo","md","Research-memo\自己検証理論の一般化.md","268","2025-12-18T06:20:58"
"自己言及クラス","Research note","Research-memo","md","Research-memo\自己言及クラス.md","92","2026-02-04T12:36:21"
"自己言及しない文","Research note","Research-memo","md","Research-memo\自己言及しない文.md","78","2025-09-04T14:04:39"
"自己言及する自己言及","Research note","Research-memo","md","Research-memo\自己言及する自己言及.md","2341","2025-09-29T17:46:05"
"自己言及する述語","Research note","Research-memo","md","Research-memo\自己言及する述語.md","1987","2025-09-03T21:42:34"
"自己言及する証明可能性述語","Research note","Research-memo","md","Research-memo\自己言及する証明可能性述語.md","501","2025-10-04T18:29:29"
"自己言及と位相","Research note","Research-memo","md","Research-memo\自己言及と位相.md","119","2025-11-19T16:55:59"
"自己言及と極限","Research note","Research-memo","md","Research-memo\自己言及と極限.md","983","2025-09-28T11:36:41"
"自己言及と算術の閉包性","Research note","Research-memo","md","Research-memo\自己言及と算術の閉包性.md","1466","2025-10-03T11:49:29"
"自己言及はどんな形をしているか？","Research note","Research-memo","md","Research-memo\自己言及はどんな形をしているか？.md","112","2026-02-23T15:26:25"
"自己言及を作る文","Research note","Research-memo","md","Research-memo\自己言及を作る文.md","452","2025-09-03T21:48:32"
"自己言及関数","Research note","Research-memo","md","Research-memo\自己言及関数.md","532","2025-09-24T15:36:31"
"自己言及関数, 自己言及述語","Research note","Research-memo","md","Research-memo\自己言及関数, 自己言及述語.md","442","2025-09-03T20:29:36"
"自己言及規則","Research note","Research-memo","md","Research-memo\自己言及規則.md","4750","2026-04-20T03:10:10"
"自己言及言及 vs.自己自己言及","Research note","Research-memo","md","Research-memo\自己言及言及 vs.自己自己言及.md","58","2025-09-03T20:28:41"
"自己言及作用素に対する不動点","Research note","Research-memo","md","Research-memo\自己言及作用素に対する不動点.md","907","2025-09-04T17:24:38"
"自己言及述語と猫のない笑い","Research note","Research-memo","md","Research-memo\自己言及述語と猫のない笑い.md","1806","2025-09-27T18:59:00"
"自己言及述語の不動点","Research note","Research-memo","md","Research-memo\自己言及述語の不動点.md","625","2025-09-29T21:00:25"
"自己言及述語の分類","Research note","Research-memo","md","Research-memo\自己言及述語の分類.md","1019","2025-09-26T23:34:05"
"自己言及述語を作る","Research note","Research-memo","md","Research-memo\自己言及述語を作る.md","1294","2025-09-29T15:51:10"
"自己言及証明","Research note","Research-memo","md","Research-memo\自己言及証明.md","107","2026-04-30T06:29:49"
"自己言及体系","Research note","Research-memo","md","Research-memo\自己言及体系.md","201","2026-04-30T15:45:58"
"自己言及談話","Research note","Research-memo","md","Research-memo\自己言及談話.md","3099","2025-10-04T16:08:43"
"自己言及文","Research note","Research-memo","md","Research-memo\自己言及文.md","219","2025-10-22T22:23:39"
"自己言及文と算術的階層","Research note","Research-memo","md","Research-memo\自己言及文と算術的階層.md","337","2025-09-03T21:48:04"
"自己言及文と双対性","Research note","Research-memo","md","Research-memo\自己言及文と双対性.md","263","2025-10-28T12:57:22"
"自己言及文と抽象代数","Research note","Research-memo","md","Research-memo\自己言及文と抽象代数.md","2844","2026-05-16T13:42:30"
"自己言及文の極限","Research note","Research-memo","md","Research-memo\自己言及文の極限.md","77","2025-09-29T12:59:56"
"自己言及文の合成","Research note","Research-memo","md","Research-memo\自己言及文の合成.md","1695","2025-10-11T20:02:09"
"自己言及文の否定","Research note","Research-memo","md","Research-memo\自己言及文の否定.md","734","2025-10-15T23:49:17"
"自己言及文の分解と分類","Research note","Research-memo","md","Research-memo\自己言及文の分解と分類.md","101","2025-09-03T21:49:24"
"自己言及文の分類に関するメモ","Research note","Research-memo","md","Research-memo\自己言及文の分類に関するメモ.md","217","2025-09-26T10:56:19"
"自己言及文を相互言及文に分解する","Research note","Research-memo","md","Research-memo\自己言及文を相互言及文に分解する.md","473","2025-09-16T01:45:42"
"自己言及命題型","Research note","Research-memo","md","Research-memo\自己言及命題型.md","258","2025-09-28T13:17:48"
"自己言及理論","Research note","Research-memo","md","Research-memo\自己言及理論.md","1086","2026-01-29T02:19:31"
"自己言及論理","Research note","Research-memo","md","Research-memo\自己言及論理.md","361","2026-04-12T08:52:18"
"自己充足性に関する考察","Research note","Research-memo","md","Research-memo\自己充足性に関する考察.md","4753","2025-10-14T22:23:42"
"自己消滅系","Research note","Research-memo","md","Research-memo\自己消滅系.md","471","2026-05-26T00:30:05"
"自己整合述語述語","Research note","Research-memo","md","Research-memo\自己整合述語述語.md","716","2025-10-18T19:32:55"
"自己適用により同値になる述語","Research note","Research-memo","md","Research-memo\自己適用により同値になる述語.md","306","2025-09-20T02:17:32"
"自己独立文","Research note","Research-memo","md","Research-memo\自己独立文.md","1510","2025-10-11T20:25:27"
"自己内包理論","Research note","Research-memo","md","Research-memo\自己内包理論.md","2566","2026-03-11T05:43:36"
"自己反映文と様相論理","Research note","Research-memo","md","Research-memo\自己反映文と様相論理.md","735","2025-09-28T15:46:57"
"自己不整合述語","Research note","Research-memo","md","Research-memo\自己不整合述語.md","0","2025-09-28T09:59:54"
"自己無矛盾性についての考察","Research note","Research-memo","md","Research-memo\自己無矛盾性についての考察.md","1161","2025-09-29T17:46:05"
"自己無矛盾文の近似","Research note","Research-memo","md","Research-memo\自己無矛盾文の近似.md","285","2025-09-26T11:00:39"
"自己無矛盾文再考!!","Research note","Research-memo","md","Research-memo\自己無矛盾文再考!!.md","4726","2025-10-08T17:26:44"
"自己無矛盾理論","Research note","Research-memo","md","Research-memo\自己無矛盾理論.md","232","2026-01-31T00:37:18"
"自己矛盾する自己言及文","Research note","Research-memo","md","Research-memo\自己矛盾する自己言及文.md","714","2025-09-28T07:21:14"
"自然数は論理式である","Research note","Research-memo","md","Research-memo\自然数は論理式である.md","1590","2025-09-29T17:11:38"
"弱い推論者の論理","Research note","Research-memo","md","Research-memo\弱い推論者の論理.md","414","2025-09-04T09:05:49"
"主述の捻じれとツイステッド領域","Research note","Research-memo","md","Research-memo\主述の捻じれとツイステッド領域.md","269","2026-05-16T07:38:17"
"主述の反転とキャロルの論理","Research note","Research-memo","md","Research-memo\主述の反転とキャロルの論理.md","1408","2026-04-23T17:14:38"
"主述の反転と第二不完全性定理","Research note","Research-memo","md","Research-memo\主述の反転と第二不完全性定理.md","686","2026-01-29T21:43:18"
"渋谷セミナー3 (2026.6.19)","Research note","Research-memo","md","Research-memo\渋谷セミナー3 (2026.6.19).md","4464","2026-06-19T06:19:47"
"述語と対象の論理","Research note","Research-memo","md","Research-memo\述語と対象の論理.md","848","2026-04-11T19:20:02"
"述語と量化範囲","Research note","Research-memo","md","Research-memo\述語と量化範囲.md","487","2025-10-11T19:12:53"
"述語の代数","Research note","Research-memo","md","Research-memo\述語の代数.md","145","2025-09-18T08:41:18"
"述語解釈可能性論理","Research note","Research-memo","md","Research-memo\述語解釈可能性論理.md","0","2025-09-04T14:00:22"
"述語空間上の演算","Research note","Research-memo","md","Research-memo\述語空間上の演算.md","267","2025-09-10T15:19:19"
"述語証明可能性論理の圏","Research note","Research-memo","md","Research-memo\述語証明可能性論理の圏.md","82","2025-11-01T07:12:58"
"述語証明可能性論理は非可算個存在するか？","Research note","Research-memo","md","Research-memo\述語証明可能性論理は非可算個存在するか？.md","4323","2025-09-04T14:02:12"
"述語定数","Research note","Research-memo","md","Research-memo\述語定数.md","522","2025-09-28T10:21:01"
"述語変数と述語量化子","Research note","Research-memo","md","Research-memo\述語変数と述語量化子.md","1005","2025-09-11T19:32:57"
"述語論理の一般論","Research note","Research-memo","md","Research-memo\述語論理の一般論.md","408","2026-04-24T19:38:51"
"小さい自己言及","Research note","Research-memo","md","Research-memo\小さい自己言及.md","539","2025-09-16T01:02:49"
"証明と証明可能性","Research note","Research-memo","md","Research-memo\証明と証明可能性.md","1207","2026-04-26T03:08:39"
"証明と証明可能性の論理","Research note","Research-memo","md","Research-memo\証明と証明可能性の論理.md","1188","2025-09-24T17:08:21"
"証明と理論の相互言及","Research note","Research-memo","md","Research-memo\証明と理論の相互言及.md","710","2025-10-04T16:18:50"
"証明可能性と無矛盾性の2重様相論理","Research note","Research-memo","md","Research-memo\証明可能性と無矛盾性の2重様相論理.md","1843","2025-09-23T09:03:54"
"証明可能性述語","Research note","Research-memo","md","Research-memo\証明可能性述語.md","411","2025-10-01T23:14:42"
"証明可能性述語と自己言及","Research note","Research-memo","md","Research-memo\証明可能性述語と自己言及.md","316","2025-09-30T19:56:40"
"証明可能性述語に関する考察","Research note","Research-memo","md","Research-memo\証明可能性述語に関する考察.md","585","2025-09-04T08:59:14"
"証明可能性論理の順序","Research note","Research-memo","md","Research-memo\証明可能性論理の順序.md","1601","2025-09-26T16:01:42"
"証明可能体系動物園","Research note","Research-memo","md","Research-memo\証明可能体系動物園.md","1395","2025-11-02T10:25:47"
"証明図の反転","Research note","Research-memo","md","Research-memo\証明図の反転.md","1859","2025-09-21T20:35:44"
"証明不能性と反証可能性","Research note","Research-memo","md","Research-memo\証明不能性と反証可能性.md","175","2025-09-03T21:42:05"
"真の算術の証明可能性述語","Research note","Research-memo","md","Research-memo\真の算術の証明可能性述語.md","225","2025-10-28T15:21:04"
"推論者とは実数である。","Research note","Research-memo","md","Research-memo\推論者とは実数である。.md","597","2025-09-06T15:38:15"
"推論者と極限","Research note","Research-memo","md","Research-memo\推論者と極限.md","428","2025-09-28T11:57:49"
"推論者と理論の対応に関する注意","Research note","Research-memo","md","Research-memo\推論者と理論の対応に関する注意.md","709","2025-09-27T21:57:45"
"推論者の様相と信念論理動物園","Research note","Research-memo","md","Research-memo\推論者の様相と信念論理動物園.md","493","2025-09-03T20:28:10"
"推論者の論理にかんする注記","Research note","Research-memo","md","Research-memo\推論者の論理にかんする注記.md","671","2025-09-05T13:56:22"
"推論者変数","Research note","Research-memo","md","Research-memo\推論者変数.md","1754","2025-09-23T16:51:09"
"推論体系の命題化","Research note","Research-memo","md","Research-memo\推論体系の命題化.md","564","2025-09-24T13:57:53"
"数化の圏アリス","Research note","Research-memo","md","Research-memo\数化の圏アリス.md","1433","2025-09-06T21:57:03"
"数化作用素と超準モデル","Research note","Research-memo","md","Research-memo\数化作用素と超準モデル.md","1675","2025-10-11T17:26:40"
"数化対象による言語の拡張","Research note","Research-memo","md","Research-memo\数化対象による言語の拡張.md","1492","2025-09-23T23:20:53"
"数化反映","Research note","Research-memo","md","Research-memo\数化反映.md","94","2025-09-03T19:06:20"
"制限付き証明の様相","Research note","Research-memo","md","Research-memo\制限付き証明の様相.md","388","2025-09-24T15:07:59"
"正の推論者","Research note","Research-memo","md","Research-memo\正の推論者.md","293","2025-09-12T01:40:51"
"誠実な推論者","Research note","Research-memo","md","Research-memo\誠実な推論者.md","630","2025-09-09T22:17:41"
"選言特性と連言特性","Research note","Research-memo","md","Research-memo\選言特性と連言特性.md","863","2025-10-11T20:39:37"
"素朴な証明可能性とは何か","Research note","Research-memo","md","Research-memo\素朴な証明可能性とは何か.md","556","2025-09-27T22:12:15"
"双対証明可能性論理","Research note","Research-memo","md","Research-memo\双対証明可能性論理.md","1737","2025-09-23T09:46:53"
"双対証明述語","Research note","Research-memo","md","Research-memo\双対証明述語.md","188","2025-09-24T16:08:49"
"双対理論 -理論を証明する世界-","Research note","Research-memo","md","Research-memo\双対理論 -理論を証明する世界-.md","691","2025-09-10T03:21:47"
"倉橋先生3(考察メモ)","Research note","Research-memo","md","Research-memo\倉橋先生3(考察メモ).md","6100","2025-09-08T00:33:40"
"相互言及の様相論理","Research note","Research-memo","md","Research-memo\相互言及の様相論理.md","320","2025-09-06T22:00:57"
"相互言及述語","Research note","Research-memo","md","Research-memo\相互言及述語.md","380","2025-09-13T00:31:13"
"相互再帰的に作られる命題様相論理","Research note","Research-memo","md","Research-memo\相互再帰的に作られる命題様相論理.md","426","2025-09-07T16:43:55"
"相互推論者の論理","Research note","Research-memo","md","Research-memo\相互推論者の論理.md","528","2025-09-04T08:59:58"
"相互無矛盾な理論についてのメモ","Research note","Research-memo","md","Research-memo\相互無矛盾な理論についてのメモ.md","402","2025-09-07T12:47:02"
"相互無矛盾な理論の構成？","Research note","Research-memo","md","Research-memo\相互無矛盾な理論の構成？.md","309","2026-01-30T11:23:25"
"相互矛盾文と相互無矛盾文","Research note","Research-memo","md","Research-memo\相互矛盾文と相互無矛盾文.md","54","2025-09-04T00:15:29"
"相互命題量化証明可能性論理","Research note","Research-memo","md","Research-memo\相互命題量化証明可能性論理.md","753","2025-10-01T07:53:35"
"相互様相論理","Research note","Research-memo","md","Research-memo\相互様相論理.md","598","2025-10-30T04:09:27"
"相対証明可能性論理","Research note","Research-memo","md","Research-memo\相対証明可能性論理.md","815","2025-09-09T20:05:23"
"対角線論法に関する考察","Research note","Research-memo","md","Research-memo\対角線論法に関する考察.md","2238","2025-10-01T13:57:11"
"対称性Symを満たす様相論理","Research note","Research-memo","md","Research-memo\対称性Symを満たす様相論理.md","1478","2025-10-11T01:37:31"
"大岡山ロジックセミナー","Research note","Research-memo","md","Research-memo\大岡山ロジックセミナー.md","5095","2025-10-25T23:07:13"
"第1不完全性定理定理に関するメモ","Research note","Research-memo","md","Research-memo\第1不完全性定理定理に関するメモ.md","1947","2025-10-06T16:15:44"
"第三不完全性定理","Research note","Research-memo","md","Research-memo\第三不完全性定理.md","463","2025-10-01T21:16:44"
"単調性条件に関する考察","Research note","Research-memo","md","Research-memo\単調性条件に関する考察.md","294","2025-10-05T01:35:40"
"抽象モデル理論","Research note","Research-memo","md","Research-memo\抽象モデル理論.md","739","2026-03-26T17:12:01"
"抽象証明可能構造","Research note","Research-memo","md","Research-memo\抽象証明可能構造.md","32","2026-05-09T00:41:22"
"抽象的解釈可能構造","Research note","Research-memo","md","Research-memo\抽象的解釈可能構造.md","65","2026-03-07T23:42:01"
"抽象的自己検証理論","Research note","Research-memo","md","Research-memo\抽象的自己検証理論.md","1407","2026-05-06T16:49:26"
"抽象的証明可能構造と形式化作用素","Research note","Research-memo","md","Research-memo\抽象的証明可能構造と形式化作用素.md","289","2026-05-05T23:10:28"
"超準アリス変換","Research note","Research-memo","md","Research-memo\超準アリス変換.md","354","2025-09-07T16:11:14"
"超準モデルと証明可能性述語","Research note","Research-memo","md","Research-memo\超準モデルと証明可能性述語.md","3549","2025-10-11T18:42:17"
"超準モデルと定義可能性について","Research note","Research-memo","md","Research-memo\超準モデルと定義可能性について.md","779","2025-09-29T14:58:02"
"超準モデルにおける自己言及述語の振る舞い","Research note","Research-memo","md","Research-memo\超準モデルにおける自己言及述語の振る舞い.md","77","2025-09-28T13:17:18"
"定義不可能な命題定数","Research note","Research-memo","md","Research-memo\定義不可能な命題定数.md","79","2025-09-10T19:44:16"
"定理に言及する公理","Research note","Research-memo","md","Research-memo\定理に言及する公理.md","344","2025-09-26T23:12:13"
"同値な命題を同一視する作用素","Research note","Research-memo","md","Research-memo\同値な命題を同一視する作用素.md","439","2025-09-16T06:37:10"
"同値になる相互言及文","Research note","Research-memo","md","Research-memo\同値になる相互言及文.md","102","2025-09-14T19:13:58"
"導出可能性代数","Research note","Research-memo","md","Research-memo\導出可能性代数.md","0","2026-02-23T15:41:16"
"反省的閉包","Research note","Research-memo","md","Research-memo\反省的閉包.md","1536","2026-02-09T19:35:15"
"反証可能性論理","Research note","Research-memo","md","Research-memo\反証可能性論理.md","484","2025-09-25T02:09:02"
"反復される度に算術的複雑性が変わる述語モデル","Research note","Research-memo","md","Research-memo\反復される度に算術的複雑性が変わる述語モデル.md","881","2025-09-04T14:03:05"
"反復不動点と自己言及述語","Research note","Research-memo","md","Research-memo\反復不動点と自己言及述語.md","2465","2025-09-28T01:05:01"
"反例","Research note","Research-memo","md","Research-memo\反例.md","150","2026-04-21T03:16:56"
"反例不変な述語","Research note","Research-memo","md","Research-memo\反例不変な述語.md","501","2025-09-30T02:09:02"
"反例崩壊と反例化階層","Research note","Research-memo","md","Research-memo\反例崩壊と反例化階層.md","556","2025-09-09T18:35:23"
"非可述的包括関手","Research note","Research-memo","md","Research-memo\非可述的包括関手.md","371","2026-03-03T11:35:29"
"非古典集合論","Research note","Research-memo","md","Research-memo\非古典集合論.md","363","2026-04-24T22:26:32"
"非古典論理上の解釈可能性次数","Research note","Research-memo","md","Research-memo\非古典論理上の解釈可能性次数.md","916","2026-03-04T20:52:56"
"非整楚集合論","Research note","Research-memo","md","Research-memo\非整楚集合論.md","161","2026-01-31T03:19:18"
"非正規多様相証明可能性論理","Research note","Research-memo","md","Research-memo\非正規多様相証明可能性論理.md","304","2025-10-28T17:02:43"
"非単調論理","Research note","Research-memo","md","Research-memo\非単調論理.md","255","2026-04-04T20:05:45"
"標準モデルにおける無矛盾性とは","Research note","Research-memo","md","Research-memo\標準モデルにおける無矛盾性とは.md","717","2025-09-04T00:17:48"
"病的な論理体系","Research note","Research-memo","md","Research-memo\病的な論理体系.md","1295","2026-04-18T07:30:40"
"病的な論理体系Ⅱ","Research note","Research-memo","md","Research-memo\病的な論理体系Ⅱ.md","237","2026-05-16T13:00:45"
"不完全性定理再考","Research note","Research-memo","md","Research-memo\不完全性定理再考.md","1346","2026-02-18T22:24:00"
"不動点定理と(Nec)","Research note","Research-memo","md","Research-memo\不動点定理と(Nec).md","1374","2025-10-01T08:16:47"
"不動点定理に関する考察","Research note","Research-memo","md","Research-memo\不動点定理に関する考察.md","246","2025-09-04T14:03:38"
"文と述語の相互言及","Research note","Research-memo","md","Research-memo\文と述語の相互言及.md","641","2025-09-14T04:19:39"
"文と証明の相互言及","Research note","Research-memo","md","Research-memo\文と証明の相互言及.md","469","2025-09-20T04:08:17"
"文の自己言及と体系の自己言及の違い","Research note","Research-memo","md","Research-memo\文の自己言及と体系の自己言及の違い.md","269","2025-09-24T14:27:17"
"文化作用素","Research note","Research-memo","md","Research-memo\文化作用素.md","295","2025-09-11T00:46:13"
"文述語付き量化命題証明可能性論理","Research note","Research-memo","md","Research-memo\文述語付き量化命題証明可能性論理.md","75","2025-09-03T20:30:14"
"本質的決定不可能性と不動点定理の成立境界","Research note","Research-memo","md","Research-memo\本質的決定不可能性と不動点定理の成立境界.md","74","2026-02-16T14:33:33"
"万能自己言及述語","Research note","Research-memo","md","Research-memo\万能自己言及述語.md","1699","2025-09-30T03:13:04"
"万能不動点","Research note","Research-memo","md","Research-memo\万能不動点.md","498","2025-10-20T23:28:43"
"無限引用符述語","Research note","Research-memo","md","Research-memo\無限引用符述語.md","2185","2025-09-16T00:56:33"
"無矛盾の階層","Research note","Research-memo","md","Research-memo\無矛盾の階層.md","125","2025-09-26T10:40:00"
"無矛盾性の様相","Research note","Research-memo","md","Research-memo\無矛盾性の様相.md","213","2025-10-18T14:03:59"
"無矛盾性言明動物園","Research note","Research-memo","md","Research-memo\無矛盾性言明動物園.md","152","2026-02-06T23:23:45"
"矛盾が凡てを証明するような述語モデル","Research note","Research-memo","md","Research-memo\矛盾が凡てを証明するような述語モデル.md","189","2025-09-04T20:36:05"
"矛盾とは何かについての考察【証明可能性論理】【不完全性定理】","Research note","Research-memo","md","Research-memo\矛盾とは何かについての考察【証明可能性論理】【不完全性定理】.md","1354","2025-09-04T14:05:13"
"矛盾の階層","Research note","Research-memo","md","Research-memo\矛盾の階層.md","1571","2025-09-26T12:18:50"
"命題型についての注意","Research note","Research-memo","md","Research-memo\命題型についての注意.md","133","2025-09-26T12:55:02"
"命題型の不動点を用いて規則(Löb)を表現する","Research note","Research-memo","md","Research-memo\命題型の不動点を用いて規則(Löb)を表現する.md","8579","2025-09-28T18:17:58"
"命題量化Peano 算術","Research note","Research-memo","md","Research-memo\命題量化Peano 算術.md","946","2025-10-28T15:16:29"
